,time_usec,xacc,frequency,yacc,zacc,xgyro,ygyro,zgyro,temperature
0,225098890,37,0.0,-55,-996,-23,-6,-2,4432
1,225489045,42,0.0,-55,-997,-22,-6,-3,4480
2,225586260,41,0.0,-56,-996,-22,-6,1,4480
3,225686184,42,0.0,-56,-995,-24,-5,-1,4480
4,225786209,40,0.0,-56,-995,-20,-7,0,4480
5,225886248,40,0.0,-54,-996,-19,-3,0,4432
6,225986205,43,0.0,-53,-996,-22,-9,0,4480
7,226086210,43,0.0,-53,-998,-21,-7,0,4480
8,226186208,40,0.0,-54,-997,-21,-9,0,4480
9,226286235,44,0.0,-52,-998,-21,-7,0,4432
10,226386208,41,0.0,-55,-997,-23,-9,-1,4480
11,226486210,41,0.0,-53,-996,-24,-7,-1,4480
12,226586248,39,0.0,-55,-996,-24,-5,0,4480
13,227086176,41,0.0,-55,-996,-23,-9,0,4480
14,227186221,41,0.0,-53,-996,-24,-6,-1,4480
15,227286180,41,0.0,-53,-996,-23,-6,-1,4480
16,227386209,40,0.0,-53,-996,-24,-6,0,4480
17,227486194,40,0.0,-54,-996,-24,-7,-1,4432
18,227586259,43,0.0,-53,-995,-25,-10,-1,4432
19,227686184,41,0.0,-54,-996,-27,-9,0,4480
20,227786210,41,0.0,-55,-995,-24,-10,-2,4432
21,227886197,41,0.0,-54,-995,-25,-7,-1,4432
22,227986232,42,0.0,-55,-995,-23,-6,-2,4480
23,228086238,41,0.0,-54,-997,-22,-9,-1,4432
24,228186220,42,0.0,-55,-996,-26,-7,-1,4432
25,228286197,42,0.0,-54,-996,-24,-9,0,4480
26,228386238,42,0.0,-54,-995,-27,-10,0,4432
27,228486176,42,0.0,-55,-996,-24,-11,0,4480
28,228586198,44,0.0,-54,-995,-22,-9,-1,4480
29,228686261,43,0.0,-54,-995,-24,-7,-2,4432
30,228786208,42,0.0,-55,-995,-24,-5,-1,4480
31,228886204,42,0.0,-55,-994,-24,-9,-2,4480
32,228986265,42,0.0,-54,-994,-22,-10,0,4480
33,229086243,42,0.0,-55,-994,-24,-7,-1,4480
34,229186207,41,0.0,-56,-995,-24,-9,-2,4480
35,229286242,41,0.0,-54,-995,-25,-11,0,4480
36,229386189,42,0.0,-56,-995,-23,-6,-2,4432
37,229486207,42,0.0,-56,-994,-22,-5,0,4480
38,229586254,42,0.0,-56,-995,-26,-5,0,4480
39,229686232,43,0.0,-55,-995,-23,-10,-1,4480
40,229786196,42,0.0,-56,-995,-22,-9,0,4432
41,229886221,39,0.0,-55,-995,-23,-5,0,4480
42,229986238,42,0.0,-53,-994,-23,-7,-2,4480
43,230086183,44,0.0,-53,-995,-22,-10,-1,4480
44,230186212,43,0.0,-54,-995,-27,-11,1,4432
45,230286243,41,0.0,-56,-996,-23,-6,-1,4432
46,230386179,44,0.0,-55,-995,-21,-9,-1,4480
47,230486216,42,0.0,-55,-994,-24,-9,-1,4480
48,230586237,42,0.0,-55,-994,-25,-9,1,4480
49,230686180,40,0.0,-55,-991,-24,-7,0,4432
50,230786210,43,0.0,-54,-993,-23,-9,-1,4480
51,230886244,45,0.0,-52,-995,-23,-11,0,4480
52,230986246,46,0.0,-53,-995,-28,-9,-3,4480
53,231086199,44,0.0,-56,-994,-32,-12,0,4480
54,231186245,43,0.0,-56,-993,-28,-9,-2,4432
55,231286180,42,0.0,-57,-994,-25,-9,-2,4480
56,231386214,44,0.0,-55,-995,-27,-9,-1,4432
57,231486249,42,0.0,-57,-995,-24,-6,-2,4480
58,231586192,42,0.0,-56,-995,-25,-10,-1,4480
59,231686214,43,0.0,-55,-995,-25,-11,0,4432
60,231786237,44,0.0,-55,-995,-24,-5,0,4480
61,231886179,41,0.0,-56,-996,-22,-5,-2,4480
62,231986192,42,0.0,-56,-995,-24,-10,-1,4480
63,232086256,43,0.0,-54,-996,-22,-7,-1,4480
64,232186191,43,0.0,-55,-996,-23,-9,0,4480
65,232286223,41,0.0,-54,-996,-22,-7,0,4480
66,232386238,42,0.0,-55,-996,-20,-9,-1,4480
67,232486203,42,0.0,-54,-996,-22,-9,0,4480
68,232586210,41,0.0,-54,-996,-23,-6,-3,4480
69,232686252,41,0.0,-53,-997,-22,-9,-3,4480
70,232786183,41,0.0,-55,-997,-22,-4,-1,4432
71,232886124,43,0.0,-54,-997,-20,-7,-1,4480
72,232986241,42,0.0,-55,-997,-20,-9,-1,4480
73,233086182,42,0.0,-55,-997,-25,-7,0,4480
74,233186215,41,0.0,-55,-996,-22,-9,-2,4432
75,233286245,42,0.0,-54,-998,-24,-5,-1,4480
76,233386252,42,0.0,-54,-998,-23,-7,0,4480
77,233486257,43,0.0,-53,-998,-24,-10,-2,4480
78,233586179,39,0.0,-55,-995,-27,-7,-1,4432
79,233686212,41,0.0,-51,-996,-27,-7,-1,4432
80,233786243,38,0.0,-55,-996,-26,-12,0,4480
81,233886238,36,0.0,-49,-994,-27,-6,-2,4432
82,233986242,41,0.0,-51,-998,-26,-10,0,4480
83,234086261,43,0.0,-52,-998,-27,-11,-2,4480
84,234186205,43,0.0,-55,-999,-23,-9,-3,4432
85,234286241,38,0.0,-54,-994,-27,-10,-1,4480
86,234386177,42,0.0,-51,-1000,-21,-4,-2,4432
87,234486211,43,0.0,-56,-998,-23,-4,0,4480
88,234586240,44,0.0,-52,-994,-22,-4,-3,4480
89,234686249,35,0.0,-54,-997,-25,-10,-4,4432
90,234786217,42,0.0,-49,-996,-27,-12,0,4480
91,234886217,42,0.0,-52,-996,-23,-11,-2,4432
92,234986247,42,0.0,-54,-995,-28,-10,0,4480
93,235086177,36,0.0,-53,-994,-23,-7,-1,4480
94,235186212,40,0.0,-52,-994,-26,-10,0,4432
95,235286229,42,0.0,-50,-995,-21,-9,-1,4432
96,235386188,40,0.0,-52,-996,-25,-12,0,4432
97,235486211,38,0.0,-53,-996,-21,-2,-2,4432
98,235586253,41,0.0,-51,-996,-25,-10,-1,4480
99,235686180,41,0.0,-52,-996,-21,-6,-3,4480
100,235786204,40,0.0,-51,-996,-24,-7,0,4432
101,235886267,38,0.0,-53,-995,-21,-6,-1,4480
