,mavpackettype,time_usec,frequency,xacc,yacc,zacc,xgyro,ygyro,zgyro,temperature,time_elapsed
0,RAW_IMU,1912296104,0.0,42,-2,-1009,-5,4,-1,4528,00:31:52.296104
1,RAW_IMU,1912343382,0.0,42,-2,-1009,-5,5,0,4528,00:31:52.343382
2,RAW_IMU,1912443447,0.0,42,-2,-1008,-5,6,0,4528,00:31:52.443447
3,RAW_IMU,1912543409,0.0,42,-2,-1009,-5,6,0,4528,00:31:52.543409
4,RAW_IMU,1912643371,0.0,42,-2,-1009,-5,6,0,4528,00:31:52.643371
5,RAW_IMU,1912743401,0.0,42,-2,-1008,-4,7,0,4528,00:31:52.743401
6,RAW_IMU,1912843420,0.0,42,-2,-1008,-5,6,0,4528,00:31:52.843420
7,RAW_IMU,1912943420,0.0,42,-1,-1009,-4,5,-1,4528,00:31:52.943420
8,RAW_IMU,1913043412,0.0,42,-2,-1009,-4,6,0,4480,00:31:53.043412
9,RAW_IMU,1913143404,0.0,42,-2,-1009,-5,6,0,4480,00:31:53.143404
10,RAW_IMU,1913243407,0.0,42,-1,-1009,-5,6,0,4528,00:31:53.243407
11,RAW_IMU,1913343361,0.0,42,-2,-1009,-5,5,0,4528,00:31:53.343361
12,RAW_IMU,1913443444,0.0,42,-2,-1009,-5,5,0,4528,00:31:53.443444
13,RAW_IMU,1913543422,0.0,42,-1,-1009,-6,6,0,4480,00:31:53.543422
14,RAW_IMU,1913643396,0.0,42,-1,-1009,-4,5,0,4480,00:31:53.643396
15,RAW_IMU,1913743412,0.0,42,-2,-1009,-5,6,0,4480,00:31:53.743412
16,RAW_IMU,1913843360,0.0,42,-2,-1009,-5,5,0,4528,00:31:53.843360
17,RAW_IMU,1913943425,0.0,42,-2,-1009,-5,6,0,4528,00:31:53.943425
18,RAW_IMU,1914043415,0.0,42,-2,-1009,-5,5,0,4480,00:31:54.043415
19,RAW_IMU,1914143362,0.0,42,-2,-1009,-5,6,0,4528,00:31:54.143362
20,RAW_IMU,1914243435,0.0,42,-2,-1008,-4,6,0,4528,00:31:54.243435
21,RAW_IMU,1914343414,0.0,43,-2,-1009,-4,6,0,4480,00:31:54.343414
22,RAW_IMU,1914443387,0.0,42,-2,-1009,-4,5,0,4528,00:31:54.443387
23,RAW_IMU,1914543413,0.0,42,-2,-1009,-5,6,0,4480,00:31:54.543413
24,RAW_IMU,1914643410,0.0,42,-2,-1009,-5,6,0,4480,00:31:54.643410
25,RAW_IMU,1914743354,0.0,42,-2,-1009,-5,6,0,4528,00:31:54.743354
26,RAW_IMU,1914843402,0.0,42,-3,-1009,-5,6,0,4528,00:31:54.843402
27,RAW_IMU,1914943409,0.0,43,-2,-1009,-5,5,0,4480,00:31:54.943409
28,RAW_IMU,1915043383,0.0,42,-2,-1008,-4,6,-1,4528,00:31:55.043383
29,RAW_IMU,1915143424,0.0,43,-2,-1009,-4,6,0,4480,00:31:55.143424
30,RAW_IMU,1915243401,0.0,42,-1,-1009,-5,6,0,4528,00:31:55.243401
31,RAW_IMU,1915343373,0.0,43,-2,-1009,-5,6,-1,4528,00:31:55.343373
32,RAW_IMU,1915443416,0.0,42,-1,-1009,-5,6,0,4528,00:31:55.443416
33,RAW_IMU,1915543428,0.0,42,-2,-1010,-4,5,0,4528,00:31:55.543428
34,RAW_IMU,1915643383,0.0,42,-2,-1009,-4,5,0,4480,00:31:55.643383
35,RAW_IMU,1915743429,0.0,42,-2,-1009,-5,5,-1,4480,00:31:55.743429
36,RAW_IMU,1915843423,0.0,41,-1,-1009,-6,6,0,4528,00:31:55.843423
37,RAW_IMU,1915943383,0.0,42,-1,-1008,-5,6,-1,4528,00:31:55.943383
38,RAW_IMU,1916043427,0.0,42,-1,-1008,-5,7,0,4480,00:31:56.043427
39,RAW_IMU,1916143371,0.0,41,-3,-1009,-4,11,0,4480,00:31:56.143371
40,RAW_IMU,1916243407,0.0,41,-2,-1012,-5,5,0,4528,00:31:56.243407
41,RAW_IMU,1916343420,0.0,42,-3,-1007,-6,5,0,4528,00:31:56.343420
42,RAW_IMU,1916443379,0.0,42,-2,-1009,-5,6,0,4528,00:31:56.443379
43,RAW_IMU,1916543413,0.0,42,-1,-1008,-5,6,0,4480,00:31:56.543413
44,RAW_IMU,1916643435,0.0,43,-2,-1009,-5,6,0,4480,00:31:56.643435
45,RAW_IMU,1916743381,0.0,43,-2,-1009,-5,6,0,4480,00:31:56.743381
46,RAW_IMU,1916843404,0.0,43,-2,-1009,-5,6,0,4528,00:31:56.843404
47,RAW_IMU,1916943414,0.0,42,-2,-1009,-5,5,0,4480,00:31:56.943414
48,RAW_IMU,1917043376,0.0,42,-2,-1009,-5,6,0,4480,00:31:57.043376
49,RAW_IMU,1917143403,0.0,42,-2,-1008,-5,6,0,4528,00:31:57.143403
50,RAW_IMU,1917243408,0.0,42,-1,-1009,-5,6,0,4528,00:31:57.243408
51,RAW_IMU,1917343354,0.0,42,-2,-1008,-4,7,0,4528,00:31:57.343354
52,RAW_IMU,1917443407,0.0,43,-1,-1009,-5,6,0,4480,00:31:57.443407
53,RAW_IMU,1917543411,0.0,42,-1,-1008,-5,7,0,4528,00:31:57.543411
54,RAW_IMU,1917643400,0.0,42,-2,-1009,-5,7,0,4480,00:31:57.643400
55,RAW_IMU,1917743398,0.0,42,-2,-1008,-4,6,-1,4480,00:31:57.743398
56,RAW_IMU,1917843433,0.0,43,-2,-1009,-4,6,0,4528,00:31:57.843433
57,RAW_IMU,1917943371,0.0,42,-2,-1008,-5,5,0,4480,00:31:57.943371
58,RAW_IMU,1918043419,0.0,43,-2,-1009,-5,5,0,4528,00:31:58.043419
59,RAW_IMU,1918143414,0.0,42,-1,-1008,-5,7,0,4528,00:31:58.143414
60,RAW_IMU,1918243372,0.0,43,-2,-1009,-6,6,0,4528,00:31:58.243372
61,RAW_IMU,1918343425,0.0,42,-1,-1008,-4,7,0,4528,00:31:58.343425
62,RAW_IMU,1918443405,0.0,42,-2,-1009,-5,6,0,4528,00:31:58.443405
63,RAW_IMU,1918543384,0.0,42,-2,-1009,-5,5,0,4480,00:31:58.543384
64,RAW_IMU,1918643405,0.0,42,-2,-1009,-5,6,0,4480,00:31:58.643405
65,RAW_IMU,1918743414,0.0,43,-1,-1009,-5,5,0,4528,00:31:58.743414
66,RAW_IMU,1918843379,0.0,42,-2,-1009,-5,6,0,4480,00:31:58.843379
