,Unnamed: 0,time_usec,Frequency,xacc,yacc,zacc,xgyro,ygyro,zgyro,temperature
0,0,14379685331,0.0,-13,-2,-1002,-26,-11,0,4528
1,1,14379885347,0.0,-13,-2,-1002,-22,-6,0,4480
2,2,14380085381,0.0,-13,-3,-1001,-23,-9,-1,4480
3,3,14380285344,0.0,-13,-2,-1001,-24,-8,-1,4480
4,4,14380485348,0.0,-13,-2,-1002,-24,-7,-1,4480
5,5,14380685347,0.0,-13,-2,-1001,-24,-9,-3,4480
6,6,14380885357,0.0,-13,-3,-1001,-23,-8,0,4480
7,7,14381085312,0.0,-13,-2,-1001,-23,-8,-2,4528
8,8,14381285333,0.0,-13,-2,-1002,-25,-6,-1,4480
9,9,14381485333,0.0,-13,-2,-1002,-24,-7,0,4528
10,10,14381685384,0.0,-13,-3,-1002,-27,-11,0,4480
11,11,14381885372,0.0,-13,-2,-1002,-23,-11,0,4480
12,12,14382085350,0.0,-13,-2,-1002,-23,-6,-2,4480
13,13,14382285313,0.0,-13,-3,-1002,-22,-7,-2,4480
14,14,14382485299,0.0,-13,-2,-1002,-26,-11,0,4528
15,15,14382685309,0.0,-13,-3,-1002,-25,-9,-1,4528
16,16,14382885334,0.0,-13,-2,-1002,-23,-7,0,4480
17,17,14383085358,0.0,-13,-2,-1002,-26,-8,-1,4480
18,18,14383285337,0.0,-13,-2,-1002,-23,-11,2,4480
19,19,14383485397,0.0,-13,-3,-1002,-23,-10,0,4480
20,20,14383685331,0.0,-13,-2,-1002,-21,-7,0,4480
21,21,14383885371,0.0,-13,-3,-1002,-24,-8,0,4480
22,22,14384085321,0.0,-13,-2,-1001,-19,-6,-1,4480
23,23,14384285387,0.0,-13,-3,-1001,-27,-7,0,4480
24,24,14384485354,0.0,-13,-2,-1002,-21,-8,0,4528
25,25,14384685350,0.0,-13,-3,-1001,-23,-10,-1,4480
26,26,14384885349,0.0,-12,-3,-1002,-26,-11,0,4528
27,27,14385085285,0.0,-12,-3,-1002,-25,-12,0,4528
28,28,14385285374,0.0,-14,-3,-1002,-24,-7,-1,4528
29,29,14385485368,0.0,-13,-2,-1002,-23,-9,-2,4480
30,30,14385685350,0.0,-13,-2,-1002,-27,-10,-1,4480
31,31,14385885371,0.0,-13,-2,-1002,-23,-5,-1,4480
32,32,14386085353,0.0,-13,-3,-1001,-23,-7,-1,4528
33,33,14386285372,0.0,-13,-3,-1001,-23,-9,-2,4528
34,34,14386485351,0.0,-14,-2,-1001,-24,-10,-3,4480
35,35,14386685330,0.0,-13,-3,-1002,-23,-7,0,4528
36,36,14386885285,0.0,-13,-2,-1001,-23,-9,0,4528
37,37,14387085346,0.0,-13,-3,-1002,-26,-6,-2,4480
38,38,14387285350,0.0,-13,-3,-1001,-28,-8,-2,4528
39,39,14387485363,0.0,-13,-3,-1001,-24,-8,0,4480
40,40,14387685298,0.0,-12,-2,-1002,-24,-8,0,4528
41,41,14387885348,0.0,-12,-2,-1002,-21,-10,0,4480
42,42,14388085350,0.0,-13,-2,-1001,-21,-7,-2,4528
43,43,14388285295,0.0,-14,-2,-1001,-24,-7,-1,4480
44,44,14388485353,0.0,-13,-3,-1002,-19,-6,0,4528
45,45,14388685287,0.0,-13,-3,-1001,-19,-5,-2,4480
46,46,14388885388,0.0,-13,-3,-1002,-24,-9,-2,4528
47,47,14389085336,0.0,-13,-3,-1001,-25,-12,0,4480
48,48,14389285311,0.0,-13,-3,-1002,-20,-8,-2,4528
49,49,14389485351,0.0,-13,-3,-1002,-24,-7,0,4528
50,50,14389685354,0.0,-13,-3,-1002,-18,-8,-2,4528
51,51,14389885345,0.0,-13,-3,-1002,-23,-10,2,4528
52,52,14390085382,0.0,-13,-2,-1002,-24,-9,-1,4480
53,53,14390285360,0.0,-13,-3,-1002,-24,-11,-1,4528
54,54,14390485312,0.0,-13,-3,-1001,-22,-9,0,4528
55,55,14390685405,0.0,-13,-3,-1001,-22,-7,-3,4480
56,56,14390885334,0.0,-13,-3,-1002,-24,-8,-1,4480
57,57,14391085351,0.0,-13,-3,-1002,-20,-9,-1,4528
58,58,14391285326,0.0,-13,-3,-1002,-24,-9,0,4528
59,59,14391485342,0.0,-13,-2,-1003,-24,-9,0,4480
60,60,14391685352,0.0,-13,-3,-1002,-26,-10,-1,4480
61,61,14391885349,0.0,-13,-2,-1002,-25,-6,0,4480
62,62,14392085331,0.0,-13,-2,-1002,-24,-9,-2,4480
63,63,14392285330,0.0,-13,-2,-1002,-25,-9,-1,4480
64,64,14392485332,0.0,-13,-2,-1002,-23,-7,-1,4528
65,65,14392685324,0.0,-13,-3,-1002,-22,-8,-2,4480
66,66,14392885332,0.0,-13,-3,-1002,-22,-9,-1,4480
67,67,14393085331,0.0,-13,-2,-1002,-24,-5,-1,4480
68,68,14393285359,0.0,-13,-3,-1001,-21,-6,0,4480
69,69,14393485351,0.0,-13,-3,-1002,-23,-7,-2,4480
70,70,14393685386,0.0,-13,-3,-1001,-24,-4,0,4480
71,71,14393885336,0.0,-13,-2,-1001,-25,-11,-1,4480
72,72,14394085305,0.0,-13,-2,-1002,-22,-7,-2,4528
73,73,14394285372,0.0,-13,-2,-1002,-24,-7,0,4480
74,74,14394485354,0.0,-13,-2,-1002,-24,-10,0,4480
75,75,14394685380,0.0,-13,-2,-1002,-21,-8,-2,4480
76,76,14394885332,0.0,-13,-3,-1002,-24,-4,-2,4528
77,77,14395085337,0.0,-13,-3,-1002,-25,-6,-2,4480
78,78,14395285342,0.0,-13,-3,-1002,-26,-6,0,4480
79,79,14395485363,0.0,-13,-2,-1001,-23,-7,0,4528
80,80,14395685363,0.0,-13,-3,-1002,-23,-7,0,4528
81,81,14395885295,0.0,-13,-2,-1002,-25,-4,0,4480
82,82,14396085397,0.0,-13,-2,-1002,-24,-9,0,4528
83,83,14396285338,0.0,-13,-2,-1001,-25,-6,0,4528
84,84,14396485320,0.0,-13,-3,-1002,-22,-6,-2,4480
85,85,14396685328,0.0,-13,-2,-1001,-27,-9,0,4480
86,86,14396885352,0.0,-14,-2,-1001,-22,-8,-1,4480
87,87,14397085315,0.0,-13,-2,-1002,-24,-8,-1,4528
88,88,14397285324,0.0,-13,-3,-1002,-20,-6,0,4480
89,89,14397485343,0.0,-13,-2,-1001,-24,-7,-2,4528
90,90,14397685331,0.0,-13,-3,-1002,-22,-9,-3,4480
91,91,14397885373,0.0,-14,-2,-1002,-21,-9,-2,4528
92,92,14398085331,0.0,-13,-3,-1002,-24,-8,0,4528
93,93,14398285345,0.0,-13,-3,-1002,-23,-13,0,4528
94,94,14398485392,0.0,-13,-3,-1002,-25,-10,-1,4528
95,95,14398685343,0.0,-13,-3,-1002,-23,-7,-1,4480
96,96,14398885379,0.0,-13,-3,-1002,-22,-8,0,4480
97,97,14399085295,0.0,-13,-2,-1002,-27,-8,0,4528
98,98,14399285356,0.0,-13,-3,-1002,-25,-6,-1,4528
99,99,14399485312,0.0,-13,-2,-1003,-23,-9,-2,4480
100,0,14399685373,1950.0,-13,-2,-1002,-23,-6,-3,4480
101,1,14399885331,1950.0,-13,-3,-1002,-26,-7,0,4528
102,2,14400085347,1950.0,-13,-3,-1002,-23,-9,0,4528
103,3,14400285326,1950.0,-13,-2,-1002,-25,-8,-4,4480
104,4,14400485325,1950.0,-13,-2,-1002,-25,-9,-1,4528
105,5,14400685365,1950.0,-100,-2,-1002,-21,-6,-3,4528
106,6,14400885328,1950.0,-13,-2,-1002,-24,-8,-1,4480
107,7,14401085357,1950.0,-13,-3,-1002,-24,-7,0,4528
108,8,14401285338,1950.0,-13,-2,-1002,-28,-8,-4,4528
109,9,14401485372,1950.0,-13,-3,-1002,-25,-8,-1,4528
110,0,14399685373,1960.0,-13,-2,-1002,-23,-6,-3,4480
111,1,14399885331,1960.0,-13,-3,-1002,-26,-7,0,4528
112,2,14400085347,1960.0,-13,-3,-1002,-23,-9,0,4528
113,3,14400285326,1960.0,-13,-2,-1002,-25,-8,-4,4480
114,4,14400485325,1960.0,-13,-2,-1002,-25,-9,-1,4528
115,5,14400685365,1960.0,-100,-2,-1002,-21,-6,-3,4528
116,6,14400885328,1960.0,-13,-2,-1002,-24,-8,-1,4480
117,7,14401085357,1960.0,-13,-3,-1002,-24,-7,0,4528
118,8,14401285338,1960.0,-13,-2,-1002,-28,-8,-4,4528
119,9,14401485372,1960.0,-13,-3,-1002,-25,-8,-1,4528
120,0,14399685373,1970.0,-13,-2,-1002,-23,-6,-3,4480
121,1,14399885331,1970.0,-13,-3,-1002,-26,-7,0,4528
122,2,14400085347,1970.0,-13,-3,-1002,-23,-9,0,4528
123,3,14400285326,1970.0,-13,-2,-1002,-25,-8,-4,4480
124,4,14400485325,1970.0,-13,-2,-1002,-25,-9,-1,4528
125,5,14400685365,1970.0,-100,-2,-1002,-21,-6,-3,4528
126,6,14400885328,1970.0,-13,-2,-1002,-24,-8,-1,4480
127,7,14401085357,1970.0,-13,-3,-1002,-24,-7,0,4528
128,8,14401285338,1970.0,-13,-2,-1002,-28,-8,-4,4528
129,9,14401485372,1970.0,-13,-3,-1002,-25,-8,-1,4528
130,0,14399685373,1980.0,-13,-2,-1002,-23,-6,-3,4480
131,1,14399885331,1980.0,-13,-3,-1002,-26,-7,0,4528
132,2,14400085347,1980.0,-13,-3,-1002,-23,-9,0,4528
133,3,14400285326,1980.0,-13,-2,-1002,-25,-8,-4,4480
134,4,14400485325,1980.0,-13,-2,-1002,-25,-9,-1,4528
135,5,14400685365,1980.0,-100,-2,-1002,-21,-6,-3,4528
136,6,14400885328,1980.0,-13,-2,-1002,-24,-8,-1,4480
137,7,14401085357,1980.0,-13,-3,-1002,-24,-7,0,4528
138,8,14401285338,1980.0,-13,-2,-1002,-28,-8,-4,4528
139,9,14401485372,1980.0,-13,-3,-1002,-25,-8,-1,4528
140,0,14399685373,1990.0,-13,-2,-1002,-23,-6,-3,4480
141,1,14399885331,1990.0,-13,-3,-1002,-26,-7,0,4528
142,2,14400085347,1990.0,-13,-3,-1002,-23,-9,0,4528
143,3,14400285326,1990.0,-13,-2,-1002,-25,-8,-4,4480
144,4,14400485325,1990.0,-13,-2,-1002,-25,-9,-1,4528
145,5,14400685365,1990.0,-100,-2,-1002,-21,-6,-3,4528
146,6,14400885328,1990.0,-13,-2,-1002,-24,-8,-1,4480
