,time_usec,xacc,yacc,zacc,xgyro,ygyro,zgyro,temperature
0,14379685331,-13,-2,-1002,-26,-11,0,4528
1,14379885347,-13,-2,-1002,-22,-6,0,4480
2,14380085381,-13,-3,-1001,-23,-9,-1,4480
3,14380285344,-13,-2,-1001,-24,-8,-1,4480
4,14380485348,-13,-2,-1002,-24,-7,-1,4480
5,14380685347,-13,-2,-1001,-24,-9,-3,4480
6,14380885357,-13,-3,-1001,-23,-8,0,4480
7,14381085312,-13,-2,-1001,-23,-8,-2,4528
8,14381285333,-13,-2,-1002,-25,-6,-1,4480
9,14381485333,-13,-2,-1002,-24,-7,0,4528
10,14381685384,-13,-3,-1002,-27,-11,0,4480
11,14381885372,-13,-2,-1002,-23,-11,0,4480
12,14382085350,-13,-2,-1002,-23,-6,-2,4480
13,14382285313,-13,-3,-1002,-22,-7,-2,4480
14,14382485299,-13,-2,-1002,-26,-11,0,4528
15,14382685309,-13,-3,-1002,-25,-9,-1,4528
16,14382885334,-13,-2,-1002,-23,-7,0,4480
17,14383085358,-13,-2,-1002,-26,-8,-1,4480
18,14383285337,-13,-2,-1002,-23,-11,2,4480
19,14383485397,-13,-3,-1002,-23,-10,0,4480
20,14383685331,-13,-2,-1002,-21,-7,0,4480
21,14383885371,-13,-3,-1002,-24,-8,0,4480
22,14384085321,-13,-2,-1001,-19,-6,-1,4480
23,14384285387,-13,-3,-1001,-27,-7,0,4480
24,14384485354,-13,-2,-1002,-21,-8,0,4528
25,14384685350,-13,-3,-1001,-23,-10,-1,4480
26,14384885349,-12,-3,-1002,-26,-11,0,4528
27,14385085285,-12,-3,-1002,-25,-12,0,4528
28,14385285374,-14,-3,-1002,-24,-7,-1,4528
29,14385485368,-13,-2,-1002,-23,-9,-2,4480
30,14385685350,-13,-2,-1002,-27,-10,-1,4480
31,14385885371,-13,-2,-1002,-23,-5,-1,4480
32,14386085353,-13,-3,-1001,-23,-7,-1,4528
33,14386285372,-13,-3,-1001,-23,-9,-2,4528
34,14386485351,-14,-2,-1001,-24,-10,-3,4480
35,14386685330,-13,-3,-1002,-23,-7,0,4528
36,14386885285,-13,-2,-1001,-23,-9,0,4528
37,14387085346,-13,-3,-1002,-26,-6,-2,4480
38,14387285350,-13,-3,-1001,-28,-8,-2,4528
39,14387485363,-13,-3,-1001,-24,-8,0,4480
40,14387685298,-12,-2,-1002,-24,-8,0,4528
41,14387885348,-12,-2,-1002,-21,-10,0,4480
42,14388085350,-13,-2,-1001,-21,-7,-2,4528
43,14388285295,-14,-2,-1001,-24,-7,-1,4480
44,14388485353,-13,-3,-1002,-19,-6,0,4528
45,14388685287,-13,-3,-1001,-19,-5,-2,4480
46,14388885388,-13,-3,-1002,-24,-9,-2,4528
47,14389085336,-13,-3,-1001,-25,-12,0,4480
